city,latitude,longitude,date,weather_code,temperature_max,temperature_min,precipitation_sum,precipitation_probability,wind_speed_max,wind_gusts_max,temperature_category,precipitation_category,wind_category,risk_score,risk_level
Casablanca,33.5992,-7.62,2026-09-15,45,28.7,21.7,0.0,0,11.0,31.0,Normal,No Rain,Moderate,11.4,Very Low
Casablanca,33.5992,-7.62,2026-09-16,45,25.9,21.0,0.0,0,14.0,36.4,Normal,No Rain,Moderate,11.4,Very Low
Tangier,35.7767,-5.8039000000000005,2026-09-15,0,30.2,21.5,0.0,0,13.2,31.3,Hot,No Rain,Moderate,9.9,Very Low
Tangier,35.7767,-5.8039000000000005,2026-09-16,3,26.7,18.2,0.0,0,19.0,44.6,Normal,No Rain,Moderate,6.4,Very Low
Fès,34.0433,-5.0033,2026-09-15,1,34.5,23.8,0.0,0,14.7,37.8,Hot,No Rain,Moderate,10.9,Very Low
Fès,34.0433,-5.0033,2026-09-16,1,31.1,20.7,0.0,0,16.9,40.7,Hot,No Rain,Moderate,10.9,Very Low
Marrakech,31.6295,-7.9811,2026-09-15,3,37.1,25.6,0.0,3,11.9,39.6,Extreme Heat,No Rain,Moderate,17.215,Very Low
Marrakech,31.6295,-7.9811,2026-09-16,0,34.6,21.7,0.0,0,12.7,34.6,Hot,No Rain,Moderate,9.9,Very Low
Sale,34.05,-6.8167,2026-09-15,45,28.1,21.6,0.0,0,12.1,31.7,Normal,No Rain,Moderate,11.4,Very Low
Sale,34.05,-6.8167,2026-09-16,3,26.1,20.8,0.0,0,15.0,37.4,Normal,No Rain,Moderate,6.4,Very Low
Meknès,33.8833,-5.55,2026-09-15,2,33.4,21.8,0.0,0,16.1,41.4,Hot,No Rain,Moderate,10.9,Very Low
Meknès,33.8833,-5.55,2026-09-16,2,30.0,18.8,0.0,0,16.1,40.0,Normal,No Rain,Moderate,10.9,Very Low
Rabat,34.0211,-6.8414,2026-09-15,45,28.1,21.6,0.0,0,12.1,31.7,Normal,No Rain,Moderate,11.4,Very Low
Rabat,34.0211,-6.8414,2026-09-16,3,26.2,20.9,0.0,0,15.0,37.4,Normal,No Rain,Moderate,6.4,Very Low
Agadir,30.4214,-9.5831,2026-09-15,3,35.6,27.5,0.0,5,10.8,34.9,Extreme Heat,No Rain,Moderate,17.424999999999997,Very Low
Agadir,30.4214,-9.5831,2026-09-16,1,38.1,23.9,0.0,0,20.4,49.0,Extreme Heat,No Rain,Moderate,20.5,Low
Kenitra,34.25,-6.5833,2026-09-15,45,29.0,21.2,0.0,0,13.2,33.1,Normal,No Rain,Moderate,11.4,Very Low
Kenitra,34.25,-6.5833,2026-09-16,2,26.9,20.8,0.0,0,16.3,40.3,Normal,No Rain,Moderate,6.4,Very Low
Oujda-Angad,34.6867,-1.9114,2026-09-15,3,30.9,16.2,0.0,0,17.8,37.4,Hot,No Rain,Moderate,10.9,Very Low
Oujda-Angad,34.6867,-1.9114,2026-09-16,0,32.2,15.8,0.0,0,19.1,39.6,Hot,No Rain,Moderate,9.9,Very Low
Tétouan,35.5667,-5.3667,2026-09-15,2,29.2,21.2,0.0,0,12.2,32.0,Normal,No Rain,Moderate,6.4,Very Low
Tétouan,35.5667,-5.3667,2026-09-16,2,33.4,19.7,0.0,0,25.8,59.8,Hot,No Rain,Strong,21.7,Low
Safi,32.2833,-9.2333,2026-09-15,3,33.8,22.8,0.0,0,22.8,42.5,Hot,No Rain,Moderate,14.5,Very Low
Safi,32.2833,-9.2333,2026-09-16,2,27.5,20.8,0.0,0,27.5,49.7,Normal,No Rain,Moderate,10.0,Very Low
Taourirt,34.41,-2.89,2026-09-15,3,32.3,19.0,0.0,0,23.0,37.1,Hot,No Rain,Moderate,14.5,Very Low
Taourirt,34.41,-2.89,2026-09-16,1,34.4,18.9,0.0,0,22.9,36.7,Hot,No Rain,Moderate,14.5,Very Low
Temara,33.9234,-6.9076,2026-09-15,45,28.1,21.4,0.0,0,11.6,31.7,Normal,No Rain,Moderate,11.4,Very Low
Temara,33.9234,-6.9076,2026-09-16,2,25.9,20.3,0.0,0,15.5,39.2,Normal,No Rain,Moderate,6.4,Very Low
Laâyoune,27.15,-13.2,2026-09-15,0,40.5,25.1,0.0,0,25.3,49.3,Extreme Heat,No Rain,Moderate,24.0,Low
Laâyoune,27.15,-13.2,2026-09-16,0,36.1,21.7,0.0,0,26.3,51.1,Extreme Heat,No Rain,Moderate,26.7,Low
El Jadid,33.2566,-8.5025,2026-09-15,45,26.6,21.5,0.0,0,17.1,30.6,Normal,No Rain,Moderate,11.4,Very Low
El Jadid,33.2566,-8.5025,2026-09-16,2,24.9,21.0,0.0,0,19.1,33.5,Normal,No Rain,Moderate,6.4,Very Low
Ait Melloul,30.3342,-9.4972,2026-09-15,3,36.8,25.6,0.0,8,17.0,34.2,Extreme Heat,No Rain,Moderate,17.74,Very Low
Ait Melloul,30.3342,-9.4972,2026-09-16,2,30.3,21.6,0.0,0,19.1,35.6,Hot,No Rain,Moderate,10.9,Very Low
Béni Mellal,32.3394,-6.3608,2026-09-15,3,36.5,25.9,0.0,5,21.9,44.6,Extreme Heat,No Rain,Moderate,21.025,Low
Béni Mellal,32.3394,-6.3608,2026-09-16,0,32.8,21.8,0.0,0,17.3,36.0,Hot,No Rain,Moderate,9.9,Very Low
Bouskoura,33.4489,-7.6486,2026-09-15,45,32.6,21.0,0.0,0,15.3,37.1,Hot,No Rain,Moderate,15.9,Very Low
Bouskoura,33.4489,-7.6486,2026-09-16,45,27.0,19.7,0.0,0,15.9,39.2,Normal,No Rain,Moderate,11.4,Very Low
Tiznit,29.7,-9.7269,2026-09-15,1,36.3,26.7,0.0,0,21.7,34.9,Extreme Heat,No Rain,Moderate,20.5,Low
Tiznit,29.7,-9.7269,2026-09-16,1,32.2,22.1,0.0,0,21.7,35.6,Hot,No Rain,Moderate,14.5,Very Low
Mohammedia,33.6833,-7.3833,2026-09-15,45,27.5,21.2,0.0,0,12.6,29.9,Normal,No Rain,Moderate,6.0,Very Low
Mohammedia,33.6833,-7.3833,2026-09-16,2,25.7,20.8,0.0,0,15.6,37.4,Normal,No Rain,Moderate,6.4,Very Low
Kouribga,32.88,-6.9,2026-09-15,3,34.6,22.7,0.0,3,24.9,49.0,Hot,No Rain,Moderate,14.815,Very Low
